"tanggal","pm10","so2","co","o3","no2","max","critical","categori","lokasi_spku"
"9/13/2018","70","46","19","190","13","190","o3","TIDAK SEHAT","DKI5"
"9/14/2018","62","44","18","233","17","233","o3","SANGAT TIDAK SEHAT","DKI2"
"9/15/2018","68","37","17","196","23","196","o3","TIDAK SEHAT","DKI2"
"9/16/2018","82","34","15","119","11","119","o3","TIDAK SEHAT","DKI2"
"9/17/2018","62","33","17","83","14","83","o3","SEDANG","DKI5"
"9/18/2018","64","32","18","141","11","141","o3","TIDAK SEHAT","DKI5"
"9/19/2018","58","34","16","85","11","85","o3","SEDANG","DKI5"
"9/20/2018","70","34","19","77","12","77","o3","SEDANG","DKI5"
"9/21/2018","80","33","34","75","12","80","pm10","SEDANG","DKI4"
"9/22/2018","58","33","25","157","13","157","o3","TIDAK SEHAT","DKI5"
"9/23/2018","84","33","29","130","14","130","o3","TIDAK SEHAT","DKI5"
"9/24/2018","69","33","25","152","21","152","o3","TIDAK SEHAT","DKI5"
"9/25/2018","78","32","31","197","16","197","o3","TIDAK SEHAT","DKI5"
"9/26/2018","94","50","26","202","21","202","o3","SANGAT TIDAK SEHAT","DKI5"
"9/27/2018","72","37","21","146","18","146","o3","TIDAK SEHAT","DKI5"
"9/28/2018","70","33","22","194","17","194","o3","TIDAK SEHAT","DKI5"
"9/29/2018","62","33","21","165","15","165","o3","TIDAK SEHAT","DKI5"
"9/30/2018","63","32","20","145","11","145","o3","TIDAK SEHAT","DKI5"
"1/12/2018","60","26","27","112","17","112","o3","TIDAK SEHAT","DKI3"
"2/12/2018","73","36","22","132","21","132","o3","TIDAK SEHAT","DKI2"
"3/12/2018","65","31","21","97","20","97","o3","SEDANG","DKI2"
"4/12/2018","64","24","31","71","21","71","o3","SEDANG","DKI1"
"5/12/2018","62","25","33","81","22","81","o3","SEDANG","DKI5"
"6/12/2018","61","27","33","94","17","94","o3","SEDANG","DKI3"
"7/12/2018","59","40","29","134","15","134","o3","TIDAK SEHAT","DKI3"
"8/12/2018","68","25","30","134","27","134","o3","TIDAK SEHAT","DKI2"
"9/12/2018","60","25","25","104","19","104","o3","TIDAK SEHAT","DKI2"
"10/12/2018","68","24","32","137","19","137","o3","TIDAK SEHAT","DKI2"
"11/12/2018","82","26","50","123","34","123","o3","TIDAK SEHAT","DKI2"
"12/12/2018","58","26","31","214","22","214","o3","SANGAT TIDAK SEHAT","DKI2"
"12/13/2018","52","26","24","117","26","117","o3","TIDAK SEHAT","DKI2"
"12/14/2018","50","24","21","92","18","92","o3","SEDANG","DKI3"
"12/15/2018","37","24","16","47","6","47","o3","BAIK","DKI2"
